"Date","Temperature"
"1981-01-01",38.1
"1981-01-02",32.4
"1981-01-03",34.5
"1981-01-04",20.7
"1981-01-05",21.5
"1981-01-06",23.1
"1981-01-07",29.7
"1981-01-08",36.6
"1981-01-09",36.1
"1981-01-10",20.6
"1981-01-11",20.4
"1981-01-12",30.1
"1981-01-13",38.7
"1981-01-14",41.4
"1981-01-15",37.0
"1981-01-16",36.0
"1981-01-17",37.0
"1981-01-18",38.0
"1981-01-19",23.0
"1981-01-20",26.7
"1981-01-21",27.5
"1981-01-22",21.7
"1981-01-23",22.9
"1981-01-24",26.2
"1981-01-25",36.5
"1981-01-26",41.8
"1981-01-27",21.5
"1981-01-28",19.2
"1981-01-29",25.0
"1981-01-30",28.9
"1981-01-31",23.2
"1981-02-01",31.5
"1981-02-02",36.2
"1981-02-03",38.2
"1981-02-04",26.4
"1981-02-05",20.9
"1981-02-06",21.5
"1981-02-07",30.2
"1981-02-08",33.4
"1981-02-09",32.6
"1981-02-10",22.2
"1981-02-11",21.7
"1981-02-12",30.0
"1981-02-13",35.7
"1981-02-14",32.8
"1981-02-15",39.3
"1981-02-16",25.5
"1981-02-17",23.0
"1981-02-18",19.9
"1981-02-19",21.3
"1981-02-20",20.8
"1981-02-21",21.7
"1981-02-22",23.8
"1981-02-23",29.0
"1981-02-24",23.7
"1981-02-25",21.3
"1981-02-26",28.5
"1981-02-27",33.6
"1981-02-28",34.6
"1981-03-01",34.2
"1981-03-02",27.0
"1981-03-03",24.2
"1981-03-04",19.9
"1981-03-05",19.7
"1981-03-06",21.5
"1981-03-07",30.6
"1981-03-08",30.0
"1981-03-09",19.0
"1981-03-10",19.6
"1981-03-11",20.6
"1981-03-12",23.6
"1981-03-13",17.9
"1981-03-14",17.3
"1981-03-15",21.4
"1981-03-16",24.1
"1981-03-17",20.9
"1981-03-18",30.1
"1981-03-19",32.6
"1981-03-20",21.3
"1981-03-21",19.5
"1981-03-22",19.9
"1981-03-23",21.0
"1981-03-24",25.4
"1981-03-25",17.5
"1981-03-26",20.4
"1981-03-27",26.8
"1981-03-28",25.8
"1981-03-29",20.9
"1981-03-30",19.4
"1981-03-31",25.8
"1981-04-01",26.3
"1981-04-02",29.6
"1981-04-03",30.3
"1981-04-04",23.6
"1981-04-05",28.4
"1981-04-06",20.7
"1981-04-07",24.1
"1981-04-08",27.3
"1981-04-09",23.2
"1981-04-10",18.3
"1981-04-11",24.6
"1981-04-12",27.4
"1981-04-13",20.4
"1981-04-14",18.1
"1981-04-15",25.2
"1981-04-16",19.8
"1981-04-17",21.0
"1981-04-18",23.7
"1981-04-19",19.6
"1981-04-20",18.1
"1981-04-21",20.8
"1981-04-22",26.0
"1981-04-23",18.4
"1981-04-24",22.0
"1981-04-25",14.4
"1981-04-26",19.9
"1981-04-27",22.6
"1981-04-28",13.7
"1981-04-29",15.9
"1981-04-30",21.2
"1981-05-01",23.7
"1981-05-02",24.0
"1981-05-03",17.2
"1981-05-04",23.2
"1981-05-05",25.2
"1981-05-06",17.2
"1981-05-07",16.0
"1981-05-08",15.6
"1981-05-09",13.4
"1981-05-10",16.0
"1981-05-11",16.8
"1981-05-12",14.6
"1981-05-13",19.4
"1981-05-14",21.0
"1981-05-15",19.5
"1981-05-16",18.5
"1981-05-17",13.3
"1981-05-18",13.7
"1981-05-19",14.3
"1981-05-20",14.1
"1981-05-21",11.4
"1981-05-22",13.6
"1981-05-23",16.6
"1981-05-24",17.6
"1981-05-25",14.6
"1981-05-26",17.2
"1981-05-27",14.4
"1981-05-28",16.4
"1981-05-29",17.3
"1981-05-30",17.6
"1981-05-31",17.2
"1981-06-01",17.7
"1981-06-02",14.2
"1981-06-03",16.6
"1981-06-04",15.7
"1981-06-05",13.7
"1981-06-06",14.7
"1981-06-07",13.1
"1981-06-08",12.9
"1981-06-09",15.4
"1981-06-10",11.9
"1981-06-11",15.2
"1981-06-12",15.3
"1981-06-13",16.5
"1981-06-14",16.1
"1981-06-15",11.7
"1981-06-16",11.2
"1981-06-17",11.5
"1981-06-18",10.8
"1981-06-19",16.1
"1981-06-20",14.8
"1981-06-21",13.6
"1981-06-22",13.8
"1981-06-23",9.7
"1981-06-24",10.7
"1981-06-25",11.0
"1981-06-26",15.3
"1981-06-27",15.3
"1981-06-28",17.0
"1981-06-29",16.0
"1981-06-30",16.3
"1981-07-01",15.7
"1981-07-02",14.5
"1981-07-03",10.8
"1981-07-04",10.5
"1981-07-05",13.4
"1981-07-06",12.2
"1981-07-07",13.2
"1981-07-08",13.0
"1981-07-09",12.4
"1981-07-10",13.1
"1981-07-11",9.8
"1981-07-12",10.5
"1981-07-13",13.4
"1981-07-14",11.0
"1981-07-15",13.1
"1981-07-16",15.0
"1981-07-17",16.7
"1981-07-18",16.1
