"Year","Water"
"1885",356
"1886",386
"1887",397
"1888",397
"1889",413
"1890",458
"1891",485
"1892",344
"1893",390
"1894",360
"1895",420
"1896",435
"1897",439
"1898",454
"1899",462
"1900",454
"1901",469
"1902",500
"1903",492
"1904",473
"1905",458
"1906",469
"1907",481
"1908",488
"1909",466
"1910",462
"1911",473
"1912",530
"1913",662
"1914",651
"1915",587
"1916",515
"1917",526
"1918",503
"1919",503
"1920",503
"1921",515
"1922",522
"1923",492
"1924",503
"1925",503
"1926",450
"1927",432
"1928",432
"1929",458
"1930",462
"1931",503
"1932",488
"1933",466
"1934",492
"1935",503
"1936",515
"1937",500
"1938",522
"1939",575
"1940",583
"1941",587
"1942",628
"1943",640
"1944",609
"1945",606
"1946",632
"1947",617
"1948",613
"1949",598
"1950",575
"1951",564
"1952",549
"1953",538
"1954",568
"1955",575
"1956",579
"1957",587
"1958",602
"1959",594
"1960",587
"1961",587
"1962",625
"1963",613
